src	tgt
<2fr> thank you	merci
<2es> thank you	gracias
<2de> thank you	danke
<2fr> thank you	merci
<2fr> good morning	bonjour
<2es> good morning	buenos días
<2fr> goodbye	au revoir
<2de> good morning	guten morgen
<2fr> thank you	merci
<2fr> how are you	comment allez-vous
<2de> hello world	hallo welt
<2es> how are you	cómo estás
<2es> good morning	buenos días
<2es> goodbye	adiós
<2es> goodbye	adiós
<2fr> good morning	bonjour
<2de> goodbye	auf wiedersehen
<2fr> goodbye	au revoir
<2fr> hello world	bonjour monde
<2de> how are you	wie geht es dir
<2es> goodbye	adiós
<2de> how are you	wie geht es dir
<2es> good morning	buenos días
<2de> thank you	danke
<2de> good morning	guten morgen
<2de> hello world	hallo welt
<2de> thank you	danke
<2de> thank you	danke
<2es> hello world	hola mundo
<2es> hello world	hola mundo
<2es> how are you	cómo estás
<2es> hello world	hola mundo
<2fr> hello world	bonjour monde
<2es> good morning	buenos días
<2es> how are you	cómo estás
<2de> good morning	guten morgen
<2fr> good morning	bonjour
<2es> how are you	cómo estás
<2es> goodbye	adiós
<2es> how are you	cómo estás
<2de> how are you	wie geht es dir
<2fr> hello world	bonjour monde
<2fr> good morning	bonjour
<2es> good morning	buenos días
<2es> hello world	hola mundo
<2fr> good morning	bonjour
<2de> thank you	danke
<2de> how are you	wie geht es dir
<2fr> hello world	bonjour monde
<2de> goodbye	auf wiedersehen
<2fr> good morning	bonjour
<2de> hello world	hallo welt
<2fr> good morning	bonjour
<2es> hello world	hola mundo
<2de> how are you	wie geht es dir
<2fr> how are you	comment allez-vous
<2es> thank you	gracias
<2es> hello world	hola mundo
<2es> goodbye	adiós
<2fr> hello world	bonjour monde
<2de> thank you	danke
<2es> goodbye	adiós
<2es> hello world	hola mundo
<2es> thank you	gracias
<2fr> goodbye	au revoir
<2es> goodbye	adiós
<2fr> hello world	bonjour monde
<2de> how are you	wie geht es dir
<2es> how are you	cómo estás
<2fr> how are you	comment allez-vous
<2de> thank you	danke
<2es> thank you	gracias
<2de> thank you	danke
<2de> good morning	guten morgen
<2fr> how are you	comment allez-vous
<2fr> goodbye	au revoir
<2de> thank you	danke
<2fr> thank you	merci
<2es> hello world	hola mundo
<2fr> thank you	merci
<2de> good morning	guten morgen
<2es> goodbye	adiós
<2es> hello world	hola mundo
<2fr> hello world	bonjour monde
<2fr> how are you	comment allez-vous
<2es> goodbye	adiós
<2de> goodbye	auf wiedersehen
<2es> how are you	cómo estás
<2es> thank you	gracias
<2fr> hello world	bonjour monde
<2fr> thank you	merci
<2de> hello world	hallo welt
<2fr> thank you	merci
<2de> goodbye	auf wiedersehen
<2de> hello world	hallo welt
<2fr> goodbye	au revoir
<2es> thank you	gracias
<2es> thank you	gracias
<2de> goodbye	auf wiedersehen
<2de> hello world	hallo welt
<2es> thank you	gracias
<2es> how are you	cómo estás
<2es> thank you	gracias
<2fr> how are you	comment allez-vous
<2de> good morning	guten morgen
<2es> good morning	buenos días
<2de> how are you	wie geht es dir
<2de> hello world	hallo welt
<2es> how are you	cómo estás
<2fr> thank you	merci
<2fr> goodbye	au revoir
<2de> good morning	guten morgen
<2fr> hello world	bonjour monde
<2de> hello world	hallo welt
<2es> good morning	buenos días
<2de> goodbye	auf wiedersehen
<2fr> good morning	bonjour
<2de> how are you	wie geht es dir
<2fr> goodbye	au revoir
<2fr> goodbye	au revoir
<2fr> good morning	bonjour
<2es> good morning	buenos días
<2fr> thank you	merci
<2fr> hello world	bonjour monde
<2es> thank you	gracias
<2fr> thank you	merci
<2de> how are you	wie geht es dir
<2de> goodbye	auf wiedersehen
<2es> good morning	buenos días
<2fr> how are you	comment allez-vous
<2de> goodbye	auf wiedersehen
<2de> goodbye	auf wiedersehen
<2es> how are you	cómo estás
<2de> hello world	hallo welt
<2es> good morning	buenos días
<2fr> how are you	comment allez-vous
<2de> hello world	hallo welt
<2de> thank you	danke
<2fr> goodbye	au revoir
<2de> good morning	guten morgen
<2fr> how are you	comment allez-vous
<2fr> goodbye	au revoir
<2de> good morning	guten morgen
<2de> goodbye	auf wiedersehen
<2es> hello world	hola mundo
<2fr> good morning	bonjour
<2de> good morning	guten morgen
<2es> goodbye	adiós
<2fr> how are you	comment allez-vous
<2de> how are you	wie geht es dir
