src	tgt
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
hello world	bonjour monde
good morning	bonjour
how are you	comment allez-vous
thank you	merci
goodbye	au revoir
