src	tgt
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
hello world	hallo welt
good morning	guten morgen
how are you	wie geht es dir
thank you	danke
goodbye	auf wiedersehen
