src	tgt
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
hello world	hola mundo
good morning	buenos días
how are you	cómo estás
thank you	gracias
goodbye	adiós
